artifact,claim_text_or_topic,evidence_type,allowed_claim_level,claim_status,action_taken,notes
README.md,live trading readiness,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
README.md,profitability,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
README.md,best-execution compliance,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
README.md,broker-grade TCA,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
README.md,institutional execution quality,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
README.md,empirical execution cost from generated data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
README.md,empirical market impact from generated data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
README.md,exact queue position without L3 data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
README.md,exact fills without L3 data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/market_microstructure_execution_cost_report.md,live trading readiness,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/market_microstructure_execution_cost_report.md,profitability,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/market_microstructure_execution_cost_report.md,best-execution compliance,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/market_microstructure_execution_cost_report.md,broker-grade TCA,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/market_microstructure_execution_cost_report.md,institutional execution quality,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/market_microstructure_execution_cost_report.md,empirical execution cost from generated data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/market_microstructure_execution_cost_report.md,empirical market impact from generated data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/market_microstructure_execution_cost_report.md,exact queue position without L3 data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/market_microstructure_execution_cost_report.md,exact fills without L3 data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/market_microstructure_execution_cost_report.html,live trading readiness,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/market_microstructure_execution_cost_report.html,profitability,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/market_microstructure_execution_cost_report.html,best-execution compliance,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/market_microstructure_execution_cost_report.html,broker-grade TCA,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/market_microstructure_execution_cost_report.html,institutional execution quality,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/market_microstructure_execution_cost_report.html,empirical execution cost from generated data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/market_microstructure_execution_cost_report.html,empirical market impact from generated data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/market_microstructure_execution_cost_report.html,exact queue position without L3 data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/market_microstructure_execution_cost_report.html,exact fills without L3 data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
docs/limitations.md,live trading readiness,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
docs/limitations.md,profitability,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
docs/limitations.md,best-execution compliance,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
docs/limitations.md,broker-grade TCA,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
docs/limitations.md,institutional execution quality,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
docs/limitations.md,empirical execution cost from generated data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
docs/limitations.md,empirical market impact from generated data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
docs/limitations.md,exact queue position without L3 data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
docs/limitations.md,exact fills without L3 data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/final_table_registry.csv,live trading readiness,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/final_table_registry.csv,profitability,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/final_table_registry.csv,best-execution compliance,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/final_table_registry.csv,broker-grade TCA,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
