path,artifact_type,stage,size_bytes,hash,included_in_release,notes
.gitignore,file,current,164,a412b86158e37e1efea4fa918ed1b45f579a930bcbe26a47360c01ecd2ec4169,True,Current project artefact.
config\claim_policy.yaml,.yaml,current,319,4d5e4c6c90de6447e1e249b579a3f4830b4280abdacf7a1dea315779e25cc10f,True,Current project artefact.
config\data_sources.yaml,.yaml,current,385,8cd6cf627cd41e1a62deea753739687ed77c27403adfc9a1035cfbb03995fdae,True,Current project artefact.
config\execution_cost_config.yaml,.yaml,current,125,322eb3ab405303f45e1806d9672ddf6069c08e280fca489d68cd392995432037,True,Current project artefact.
config\order_book_config.yaml,.yaml,current,194,261c15087267167f2f201c93e74c9f2fea541f01616921b1883b98243aa1fe83,True,Current project artefact.
config\project_config.yaml,.yaml,current,135,88a8c8f26b1419ce4002866764647fb6d265611bdf1192a6acf2ff6edf5da711,True,Current project artefact.
data\external\.gitkeep,file,current,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,True,Current project artefact.
data\generated\tiny_book_snapshot_l2.parquet,.parquet,current,20818,12f2846175ceb00c984c1056a62fdccd1457c04f882fe8456bf830256604f3f4,True,Current project artefact.
data\generated\tiny_cost_attribution.parquet,.parquet,current,9583,6ff8590b6c52a1221d6d4c8864202e5562acd70835b1e00a596bbbaed7108116,True,Current project artefact.
data\generated\tiny_execution_scenarios.parquet,.parquet,current,9064,bca6a62450a69fd0de8010a22131a2d3c295587b06f4c492223d28fd1ef45b4d,True,Current project artefact.
data\generated\tiny_order_event_l3.parquet,.parquet,current,8915,417355a7e0c0352c88627edbd3a4f7a8176a1c81fc2e816b0f5843912fc3b98a,True,Current project artefact.
data\generated\tiny_simulated_fills.parquet,.parquet,current,10620,242e0f95ef2713d7344d5366733c3d21891e1129b50653406ae2d9d9513ff936,True,Current project artefact.
data\generated\tiny_trade_event.parquet,.parquet,current,7756,15496b3d453442018d32c63934539577075b0f6df68ecca18d9c073b3cc97923,True,Current project artefact.
data\processed\execution_scenarios_stage3.parquet,.parquet,current,15312,d4325c858acd91ff3980a55d1aed1d596f39da0b039dd651262bc73088951087,True,Current project artefact.
data\processed\order_book_features.parquet,.parquet,current,40891,3284907fdf7a361c185ab7d3dc88cbbb28609abd496bb76cc5c4872bdb9e6214,True,Current project artefact.
data\processed\short_horizon_labels.parquet,.parquet,current,16991,b91fae0a7c3b5867cabad3798c97cb94900dbddcf60bba5acd8e10a302318407,True,Current project artefact.
data\processed\stage3_cost_attribution.parquet,.parquet,current,11657,ecf59e4a4df37f380a2ab28eb9a60400e6c807d681a24b0ed7592684dc3f4f53,True,Current project artefact.
data\processed\stage3_simulated_fills.parquet,.parquet,current,11621,6a9dea608b8ffd316dab2c69709425dd8f6304d67ba62bf62ee477c352cc4e5a,True,Current project artefact.
data\raw\.gitkeep,file,current,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,True,Current project artefact.
docs\data_capability_and_claims_protocol.md,.md,current,415,1e1d2ada44c4fc784c5d30e1c1bac4e388ffd1b40bd506d751c2cb1e880b0733,True,Current project artefact.
docs\execution_cost_methodology.md,.md,current,309,e5c9068673b426e77f342f11eda11f198b92ad395418f354db1dd035fd1072c6,True,Current project artefact.
docs\implementation_checklist.md,.md,current,906,dbe59c89e270145b7c3ae25af50be687f13f2c302cef62d7aee0a71bc4ee14b5,True,Current project artefact.
docs\licence_and_data_redistribution_policy.md,.md,current,709,12d2175c01e4f4f9fe93bfaec9a86b6f78ee0225621c7cf2bdc9f303ef68c19f,True,Current project artefact.
docs\limitations.md,.md,current,1099,faa6671daa293edab08fa6c80df2139149ab7c020c5301f8592d4504da57edca,True,Current project artefact.
docs\research_methodology_protocol.md,.md,current,985,435ff054a5e91c86cab4d5e5d3ea4ef34ba474bb37280815b4b82ba196cdeea7,True,Current project artefact.
pyproject.toml,.toml,current,848,c9eb2d149b85f010bd17a8c4efba471d809fc3d377232dee5ba2652df1b1dc5f,True,Current project artefact.
README.md,.md,current,4161,a333cb021402ee0ee285ee0fbdff99972561915ea0293c4c4c1654fac2068070,True,Current project artefact.
reports\figures\baseline_model_performance.png,.png,current,8745,a44cd908eca2a6671ea84330a4ee7136c29354eee6dc131da9c1cd475193207b,True,Current project artefact.
reports\figures\cost_attribution_example.png,.png,current,8537,d69ec12d0334bb071d336388fea0efcbb13cf36d49dc2ed3a2027678a8bbd628,True,Current project artefact.
reports\figures\cost_attribution_waterfall.png,.png,current,9851,0185c87a2a52f8ca2f6e2384a788d83610718847e62916034a4939be91818bf1,True,Current project artefact.
reports\figures\cost_by_liquidity_regime.png,.png,current,8654,056bc55ad1105859a989356a3035978bb8dd5286402f44b0b4c07282bf882e77,True,Current project artefact.
reports\figures\depth_imbalance_distribution.png,.png,current,10118,9240f725cdd13738fdff2d2f355d216f5de9d9d0a437582aea944662be08b2db,True,Current project artefact.
reports\figures\event_intensity_profile.png,.png,current,7553,3102da1fc4c8048f12ccf78c2e4cc3b88a383404b62f26775a7f04baa378228f,True,Current project artefact.
reports\figures\execution_cost_by_order_size.png,.png,current,9076,0e9baf8cb796c9856d418c94ad4d45972aaea59612ac6c330105f049b77e7f00,True,Current project artefact.
